package,breaking_version,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,label_breaking,propagation_class,R0,ci_check_failure_rate,ci_check_prs_sampled,ci_check_prs_failed,pr_rejection_rate,bot_prs_total,bot_prs_rejected,ci_failure_issues,is_deprecated,days_to_patch,quick_patch
commander,8.0.0,0.0,0.5745777606045109,0.0,0.03523533371304303,0.15245327357938848,0.21852728427821244,SAFE,1,moderate,1.361,,,,,0.0,0.0,0.0,0.0,31.0,0.0
commander,9.0.0,0.0,0.5745777606045109,0.0,0.030342256511158287,0.1512300042789173,0.21834550929903923,SAFE,1,moderate,1.172,,,,,0.0,0.0,0.0,0.0,48.0,0.0
yargs,17.0.0,0.1034,0.2698040340772249,0.5,0.24253093771035056,0.2789337429468939,0.2670133723137407,WAIT,1,explosive,9.368,,,,,0.0,0.0,0.0,0.0,1.0,1.0
dotenv,16.0.0,0.0,0.18861292985546285,0.0,0.029876249158597837,0.05462229475351517,0.07241473745498263,SAFE,1,moderate,1.154,,,,,0.0,0.0,0.0,0.0,96.0,0.0
mongoose,6.0.0,0.0833,0.00765728904968738,0.5,0.07173924299694506,0.16567413301165812,0.15465166868572763,SAFE,1,explosive,2.771,,,,,0.0,0.0,0.0,0.0,1.0,1.0
mongoose,7.0.0,0.0353,0.00765728904968738,0.5,0.03435509760265106,0.14432809666308463,0.13675496727073738,SAFE,1,moderate,1.327,,,,,0.0,0.0,1.0,0.0,7.0,1.0
sequelize,6.0.0,1.0,0.004115839994886991,0.0,0.032542846787138195,0.25916467169550633,0.34667956253313037,WAIT,1,moderate,1.257,,,,,0.0,0.0,0.0,0.0,377.0,0.0
typeorm,0.3.0,0.0219,0.006500955126108826,0.5,0.03091182105317662,0.13982819404482136,0.13158144513179973,SAFE,1,moderate,1.194,,,,,0.0,0.0,1.0,0.0,3.0,1.0
graphql,16.0.0,0.2319,0.05514834879985142,0.5,0.03274996116605395,0.20494957749147635,0.22226288124338023,SAFE,1,moderate,1.265,,,,,0.0,0.0,1.0,0.0,4.0,1.0
apollo-server,3.0.0,0.2632,0.004150268182442226,1.0,0.0265106405012168,0.32346522717091475,0.33395955113763875,WAIT,1,moderate,1.024,,,,,0.0,0.0,1.0,1.0,9.0,1.0
next,13.0.0,0.0233,0.05012334772257873,0.5,0.09136333039921297,0.16619666953044793,0.15080004810987127,SAFE,1,explosive,3.529,,,,,0.0,0.0,5.0,0.0,6.0,1.0
next,14.0.0,0.0276,0.05012334772257873,1.0,0.07777144928286647,0.2888736992513613,0.2722176321713137,WAIT,1,explosive,3.004,,,,,0.0,0.0,5.0,1.0,4.0,1.0
nuxt,3.0.0,0.0,0.0021100069669201015,0.0,0.03989540723864755,0.010501353551391913,0.002279776390423192,SAFE,1,rapid,1.541,,,,,0.0,0.0,2.0,0.0,69.0,0.0
gatsby,4.0.0,0.0123,0.0004153429017417078,0.5,0.031973282245119874,0.1361721562867154,0.12601864025966986,SAFE,1,moderate,1.235,,,,,0.0,0.0,0.0,0.0,4.0,1.0
tailwindcss,3.0.0,0.8899,0.1541017477649793,0.5,0.03539066949722985,0.39484810431555234,0.4860659996161581,WAIT,1,moderate,1.367,,,,,0.0,0.0,1.0,0.0,1.0,1.0
postcss,8.0.0,0.6667,0.3163677861283577,0.5,0.03179205716356858,0.37871496082298156,0.47051501543653834,WAIT,1,moderate,1.228,,,,,0.0,0.0,1.0,0.0,0.0,1.0
rollup,3.0.0,0.0433,0.16838787005430236,0.5,0.03163672137938176,0.18583114785842103,0.20016926766002158,SAFE,1,moderate,1.222,,,,,0.0,0.0,0.0,0.0,0.0,1.0
vite,3.0.0,0.1241,0.17995940435672458,0.5,0.04370113395122457,0.2119401345769873,0.23278035768502647,SAFE,1,rapid,1.688,,,,,0.0,0.0,5.0,0.0,4.0,1.0
vite,4.0.0,0.0036,0.17995940435672458,0.5,0.0409568684305908,0.18112906819682884,0.19123669724150483,SAFE,1,rapid,1.582,,,,,0.0,0.0,1.0,0.0,3.0,1.0
prettier,3.0.0,0.9,0.14822742712876602,0.0,0.04572049914565319,0.2734869815686048,0.36725882423422174,WAIT,1,rapid,1.766,,,,,0.0,0.0,3.0,0.0,28.0,0.0
glob,4.0.0,0.0,0.4925150898901939,0.0,0.0,0.12312877247254847,0.18619463514253123,SAFE,1,,,,,,,,,,,,
glob,5.0.0,0.0,0.4925150898901939,0.0,0.0,0.12312877247254847,0.18619463514253123,SAFE,1,,,,,,,,,,,,
glob,10.0.0,0.0213,0.4925150898901939,0.0,0.0,0.12845377247254847,0.19352001670083144,SAFE,1,,,,,,,,,,,,
uuid,3.0.0,0.0,0.36371260541544703,0.0,0.0,0.09092815135386176,0.1375010375360622,SAFE,1,,,,,,,,,,,,
uuid,7.0.0,0.0,0.36371260541544703,0.0,0.0,0.09092815135386176,0.1375010375360622,SAFE,1,,,,,,,,,,,,
graceful-fs,3.0.0,0.0,0.22419374212018178,0.0,0.0,0.056048435530045446,0.08475612802972743,SAFE,1,,,,,,,,,,,,
eslint,1.0.0,0.0,0.18495740820105708,0.0,0.0,0.04623935205026427,0.06992288732631928,SAFE,1,,,,,,,,,,,,
eslint,2.0.0,0.0,0.18495740820105708,0.0,0.0,0.04623935205026427,0.06992288732631928,SAFE,1,,,,,,,,,,,,
eslint,3.0.0,0.0,0.18495740820105708,0.0,0.0,0.04623935205026427,0.06992288732631928,SAFE,1,,,,,,,,,,,,
eslint,4.0.0,0.1429,0.18495740820105708,0.0,0.0,0.08196435205026427,0.11906828754608917,SAFE,1,,,,,,,,,,,,
eslint,5.0.0,0.0,0.18495740820105708,0.0,0.0,0.04623935205026427,0.06992288732631928,SAFE,1,,,,,,,,,,,,
express,1.0.0,0.7907,0.14634925787324884,0.0,0.0,0.2342623144683122,0.3272604262313836,SAFE,1,,,,,,,,,,,,
express,2.0.0,0.2222,0.14634925787324884,0.0,0.0,0.09213731446831222,0.13174496069646982,SAFE,1,,,,,,,,,,,,
express,3.0.0,0.7,0.14634925787324884,0.0,0.0,0.2115873144683122,0.2960673695488565,SAFE,1,,,,,,,,,,,,
tar,2.0.0,0.0,0.11281559079137288,0.0,0.0,0.02820389769784322,0.042649774995669645,SAFE,1,,,,,,,,,,,,
tar,4.0.0,0.0,0.11281559079137288,0.0,0.0,0.02820389769784322,0.042649774995669645,SAFE,1,,,,,,,,,,,,
tar,6.0.0,0.0,0.11281559079137288,0.0,0.0,0.02820389769784322,0.042649774995669645,SAFE,1,,,,,,,,,,,,
tar,7.0.0,0.0952,0.11281559079137288,0.0,0.0,0.05200389769784322,0.0753904475003729,SAFE,1,,,,,,,,,,,,
jsonwebtoken,4.0.0,0.0,0.06208722919118367,0.0,0.0,0.015521807297795917,0.02347198943455829,SAFE,1,,,,,,,,,,,,
graphql,14.0.0,0.0181,0.05514834879985142,0.0,0.0,0.018312087199962856,0.027073610239887205,SAFE,1,,,,,,,,,,,,
formidable,1.0.0,0.0,0.030071048221397747,0.0,0.0,0.007517762055349437,0.01136831737111837,SAFE,1,,,,,,,,,,,,
gauge,2.0.0,0.0,0.02954268911535926,0.0,0.0,0.007385672278839815,0.011168571956221533,SAFE,1,,,,,,,,,,,,
npmlog,3.0.0,0.0,0.029315392929505836,0.0,0.0,0.007328848232376459,0.011082642953713806,SAFE,1,,,,,,,,,,,,
npmlog,7.0.0,0.0,0.029315392929505836,0.0,0.0,0.007328848232376459,0.011082642953713806,SAFE,1,,,,,,,,,,,,
joi,1.0.0,0.0,0.02903769040307591,0.0,0.0,0.007259422600768978,0.01097765790523883,SAFE,1,,,,,,,,,,,,
joi,3.0.0,0.15,0.02903769040307591,0.0,0.0,0.044759422600768976,0.06256485197777545,SAFE,1,,,,,,,,,,,,
joi,6.0.0,0.0,0.02903769040307591,0.0,0.0,0.007259422600768978,0.01097765790523883,SAFE,1,,,,,,,,,,,,
